EmployeeID,Name,Email,Phone,Department,Position,JoinDate,SalaryUSD
EMP030,Timothy Edwards,regina98@stevens-garcia.com,001-469-906-4174x0073,HR,HR Executive,2022-03-29,5113

EMP031,Zachary Alvarado DDS,travishill@russo-johnson.org,166.586.7893,R&D,Research Analyst,2022-11-15,2922

EMP032,Michael Roberts,mckenzie68@bell.biz,543-227-6847x72441,Finance,Financial Analyst,2023-11-04,1661

EMP033,Michael Sawyer,deanna86@gmail.com,734-650-6124x8268,IT Support,Support Specialist,2024-03-28,5830

EMP034,Brian Hutchinson,teresagibbs@mccall.com,(193)337-8828x83593,Engineering,System Architect,2024-01-05,3599

EMP035,Kristy Colon,christian91@hotmail.com,994-394-4085x9496,Finance,Finance Manager,2024-06-04,5863

EMP036,Brian Mendez,byrdheidi@yahoo.com,(113)781-1734,IT Support,Network Engineer,2021-08-18,5832

EMP037,Lisa Bryant,zlopez@hotmail.com,213.810.7056,Operations,Operations Officer,2021-11-19,5732

EMP038,Ms. Gina Rivera MD,brian20@gmail.com,+1-919-024-3754x47076,IT Support,Network Engineer,2022-02-03,3659

EMP039,Sarah Ross,rrios@yahoo.com,(176)208-8299x092,Operations,Operations Manager,2022-09-19,1815

EMP040,Jamie Turner,stevebush@chapman-flynn.com,001-231-181-7459x03253,Finance,Financial Analyst,2024-03-23,4730

EMP041,Joseph Hodge,vcook@hotmail.com,+1-430-853-4023x7762,Operations,Logistics Coordinator,2025-06-12,1329

EMP042,Maureen Perez,lnoble@gmail.com,631-138-3192x55337,R&D,Data Scientist,2024-04-03,4124

EMP043,Jason Morales,tthomas@gmail.com,+1-819-129-1540x298,IT Support,Network Engineer,2022-03-03,5858

EMP044,Derrick Cervantes,perryjones@gmail.com,043.383.2652x4364,IT Support,Network Engineer,2023-09-27,4298

EMP045,Jeffrey Rodriguez,dmccarthy@yahoo.com,(572)691-0461,Operations,Operations Officer,2020-11-06,799

EMP046,Brooke Green,ewhite@gmail.com,(806)606-7709,Sales,Sales Manager,2025-03-17,5667

EMP047,Leslie Johnson,brucetaylor@payne-ramsey.info,001-398-591-6580x32942,Finance,Financial Analyst,2021-02-07,2431

EMP048,David Lopez,lucas94@williams-olsen.net,(768)015-7328,Sales,Sales Executive,2022-12-07,1360

EMP049,Jennifer Barton,samantha87@gmail.com,9457445934,R&D,AI Researcher,2023-08-23,5912

EMP050,Casey Schneider,daniel38@yahoo.com,923.050.8572,HR,HR Manager,2023-01-05,6108
